touch_id,user_hash,placement_id,touch_type,ts,raw_payload,match_quality,converted,data_origin
1,5a2ea478d53a4467,p_own_1809,bot_start,2026-07-23 16:15:07.986447180,start=p_own_1809,deterministic,0,synthetic
2,806a3308947af187,p_own_1809,bot_start,2026-07-23 16:51:59.662154326,start=p_own_1809,deterministic,0,synthetic
3,63cf1c490115055b,p_own_1809,promo_code_used,2026-07-23 18:53:40.346633075,start=p_own_1809,deterministic,0,synthetic
4,b62ed5f27ba4b29b,p_own_1809,bot_start,2026-07-23 19:47:08.224414860,start=p_own_1809,deterministic,0,synthetic
5,d7ede36643483b3b,p_own_1809,promo_code_used,2026-07-23 20:06:07.535699539,start=p_own_1809,deterministic,0,synthetic
6,e01f464bcbbe9dad,p_own_1809,manager_chat_open,2026-07-23 20:08:23.423446796,start=p_own_1809,deterministic,0,synthetic
7,940ec9fad33fa8e4,p_own_1809,manager_chat_open,2026-07-23 20:12:14.475703500,start=p_own_1809,deterministic,0,synthetic
8,cfe66a8c62dfbe6d,p_own_1809,bot_start,2026-07-23 20:37:03.768992772,start=p_own_1809,deterministic,0,synthetic
9,18b374e8ec7a8438,p_own_1809,bot_start,2026-07-23 21:15:51.870236475,start=p_own_1809,deterministic,0,synthetic
10,f57be21c511abf1f,p_own_1809,manager_chat_open,2026-07-23 23:07:57.579802696,start=p_own_1809,deterministic,0,synthetic
11,7b39898f9b4a37dd,p_own_1809,bot_start,2026-07-24 00:50:55.909467030,start=p_own_1809,deterministic,0,synthetic
12,3cbc8e50092a6d09,p_own_1809,bot_start,2026-07-24 02:04:06.415156276,start=p_own_1809,deterministic,0,synthetic
13,e193fc696b82c355,p_own_1809,bot_start,2026-07-24 03:14:31.605418722,start=p_own_1809,deterministic,0,synthetic
14,681062376c7213bf,p_own_1809,bot_start,2026-07-24 05:44:46.878622064,start=p_own_1809,deterministic,0,synthetic
15,4db1bf386799125d,p_own_1809,manager_chat_open,2026-07-24 06:12:11.417699505,start=p_own_1809,deterministic,0,synthetic
16,e2c7cba017781425,p_own_1809,bot_start,2026-07-24 06:22:06.620838479,start=p_own_1809,deterministic,0,synthetic
17,14037cf76c6b38f6,p_own_1809,bot_start,2026-07-24 07:52:40.046239274,start=p_own_1809,deterministic,0,synthetic
18,66889713333ca93a,p_own_1809,bot_start,2026-07-24 10:38:48.813518428,start=p_own_1809,deterministic,0,synthetic
19,4bff0549c0d52b9d,p_own_1809,bot_start,2026-07-24 12:20:45.211766531,start=p_own_1809,deterministic,0,synthetic
20,9e87bb2b2a8a0a09,p_own_1809,bot_start,2026-07-24 12:30:27.005554854,start=p_own_1809,deterministic,0,synthetic
21,96c227ccf5e1f852,p_own_1809,manager_chat_open,2026-07-24 12:36:20.229784826,start=p_own_1809,deterministic,0,synthetic
22,725d9af2760b92cd,p_own_1809,manager_chat_open,2026-07-24 12:40:23.482577021,start=p_own_1809,deterministic,0,synthetic
23,943c3b606df5260f,p_own_1809,bot_start,2026-07-24 13:26:15.449609963,start=p_own_1809,deterministic,0,synthetic
24,415025bae7aeba03,p_own_1809,manager_chat_open,2026-07-24 14:02:16.301192828,start=p_own_1809,deterministic,0,synthetic
25,43bb9176fb2e0d11,p_own_1809,manager_chat_open,2026-07-24 16:01:44.991227637,start=p_own_1809,deterministic,0,synthetic
26,f7509d124a6f8078,p_own_1809,bot_start,2026-07-24 18:07:52.573649907,start=p_own_1809,deterministic,0,synthetic
